"","subject","condition","Behavior","mean.peeking","count"
"1","ES101","Functional","Peek on top",0,0
"2","ES101","Functional","Peephole peek",0,0
"3","ES101","Functional","Right box (side)",0,0
"4","ES101","Functional","Right side peek",1.64325,1
"5","ES101","Non-functional","Peek on top",0,0
"6","ES101","Non-functional","Peephole peek",0,0
"7","ES101","Non-functional","Right box (side)",0,0
"8","ES101","Non-functional","Right side peek",0,0
"9","ES102","Functional","Peek on top",0,0
"10","ES102","Functional","Peephole peek",0,0
"11","ES102","Functional","Right box (side)",0,0
"12","ES102","Functional","Right side peek",0,0
"13","ES102","Non-functional","Peek on top",0,0
"14","ES102","Non-functional","Peephole peek",0,0
"15","ES102","Non-functional","Right box (side)",0,0
"16","ES102","Non-functional","Right side peek",1.18725,1
"17","ES103","Functional","Peek on top",0,0
"18","ES103","Functional","Peephole peek",0,0
"19","ES103","Functional","Right box (side)",0,0
"20","ES103","Functional","Right side peek",0,0
"21","ES103","Non-functional","Peek on top",0,0
"22","ES103","Non-functional","Peephole peek",0,0
"23","ES103","Non-functional","Right box (side)",0,0
"24","ES103","Non-functional","Right side peek",0,0
"25","ES104","Functional","Peek on top",0,0
"26","ES104","Functional","Peephole peek",0,0
"27","ES104","Functional","Right box (side)",0,0
"28","ES104","Functional","Right side peek",0,0
"29","ES104","Non-functional","Peek on top",0,0
"30","ES104","Non-functional","Peephole peek",0,0
"31","ES104","Non-functional","Right box (side)",0,0
"32","ES104","Non-functional","Right side peek",0,0
"33","ES106","Functional","Peek on top",0,0
"34","ES106","Functional","Peephole peek",0,0
"35","ES106","Functional","Right box (side)",0,0
"36","ES106","Functional","Right side peek",0,0
"37","ES106","Non-functional","Peek on top",0,0
"38","ES106","Non-functional","Peephole peek",0,0
"39","ES106","Non-functional","Right box (side)",0,0
"40","ES106","Non-functional","Right side peek",0,0
"41","ES108","Functional","Peek on top",5.06025,2
"42","ES108","Functional","Peephole peek",2.124,1
"43","ES108","Functional","Right box (side)",0,0
"44","ES108","Functional","Right side peek",0,0
"45","ES108","Non-functional","Peek on top",0,0
"46","ES108","Non-functional","Peephole peek",0,0
"47","ES108","Non-functional","Right box (side)",0,0
"48","ES108","Non-functional","Right side peek",0,0
"49","ES110","Functional","Peek on top",0,0
"50","ES110","Functional","Peephole peek",0,0
"51","ES110","Functional","Right box (side)",0,0
"52","ES110","Functional","Right side peek",0,0
"53","ES110","Non-functional","Peek on top",0,0
"54","ES110","Non-functional","Peephole peek",0,0
"55","ES110","Non-functional","Right box (side)",0,0
"56","ES110","Non-functional","Right side peek",0,0
"57","ES111","Functional","Peek on top",0,0
"58","ES111","Functional","Peephole peek",0,0
"59","ES111","Functional","Right box (side)",0,0
"60","ES111","Functional","Right side peek",0,0
"61","ES111","Non-functional","Peek on top",0,0
"62","ES111","Non-functional","Peephole peek",0,0
"63","ES111","Non-functional","Right box (side)",0,0
"64","ES111","Non-functional","Right side peek",0.37325,1
"65","ES112","Functional","Peek on top",0,0
"66","ES112","Functional","Peephole peek",0,0
"67","ES112","Functional","Right box (side)",0,0
"68","ES112","Functional","Right side peek",0,0
"69","ES112","Non-functional","Peek on top",0,0
"70","ES112","Non-functional","Peephole peek",0,0
"71","ES112","Non-functional","Right box (side)",1.03875,1
"72","ES112","Non-functional","Right side peek",0.20425,1
"73","ES113","Functional","Peek on top",0,0
"74","ES113","Functional","Peephole peek",0,0
"75","ES113","Functional","Right box (side)",0,0
"76","ES113","Functional","Right side peek",0,0
"77","ES113","Non-functional","Peek on top",0,0
"78","ES113","Non-functional","Peephole peek",0,0
"79","ES113","Non-functional","Right box (side)",0,0
"80","ES113","Non-functional","Right side peek",0.35875,1
"81","ES114","Functional","Peek on top",0,0
"82","ES114","Functional","Peephole peek",0,0
"83","ES114","Functional","Right box (side)",4.542,1
"84","ES114","Functional","Right side peek",0,0
"85","ES114","Non-functional","Peek on top",0,0
"86","ES114","Non-functional","Peephole peek",0,0
"87","ES114","Non-functional","Right box (side)",0,0
"88","ES114","Non-functional","Right side peek",0,0
"89","ES115","Functional","Peek on top",0,0
"90","ES115","Functional","Peephole peek",0,0
"91","ES115","Functional","Right box (side)",2.1605,1
"92","ES115","Functional","Right side peek",0,0
"93","ES115","Non-functional","Peek on top",0,0
"94","ES115","Non-functional","Peephole peek",0,0
"95","ES115","Non-functional","Right box (side)",1.856,2
"96","ES115","Non-functional","Right side peek",0,0
"97","ES116","Functional","Peek on top",0,0
"98","ES116","Functional","Peephole peek",0,0
"99","ES116","Functional","Right box (side)",0,0
"100","ES116","Functional","Right side peek",0,0
"101","ES116","Non-functional","Peek on top",1.03875,1
"102","ES116","Non-functional","Peephole peek",0,0
"103","ES116","Non-functional","Right box (side)",0.39625,1
"104","ES116","Non-functional","Right side peek",0,0
"105","ES117","Functional","Peek on top",0,0
"106","ES117","Functional","Peephole peek",0,0
"107","ES117","Functional","Right box (side)",0,0
"108","ES117","Functional","Right side peek",0,0
"109","ES117","Non-functional","Peek on top",0,0
"110","ES117","Non-functional","Peephole peek",0,0
"111","ES117","Non-functional","Right box (side)",0,0
"112","ES117","Non-functional","Right side peek",0,0
"113","ES118","Functional","Peek on top",0,0
"114","ES118","Functional","Peephole peek",0,0
"115","ES118","Functional","Right box (side)",0.62975,1
"116","ES118","Functional","Right side peek",0,0
"117","ES118","Non-functional","Peek on top",0,0
"118","ES118","Non-functional","Peephole peek",0,0
"119","ES118","Non-functional","Right box (side)",7.2865,1
"120","ES118","Non-functional","Right side peek",0,0
"121","ES119","Functional","Peek on top",0,0
"122","ES119","Functional","Peephole peek",0,0
"123","ES119","Functional","Right box (side)",0,0
"124","ES119","Functional","Right side peek",0,0
"125","ES119","Non-functional","Peek on top",0,0
"126","ES119","Non-functional","Peephole peek",0,0
"127","ES119","Non-functional","Right box (side)",0,0
"128","ES119","Non-functional","Right side peek",0,0
"129","ES120","Functional","Peek on top",0,0
"130","ES120","Functional","Peephole peek",0,0
"131","ES120","Functional","Right box (side)",0,0
"132","ES120","Functional","Right side peek",0,0
"133","ES120","Non-functional","Peek on top",0,0
"134","ES120","Non-functional","Peephole peek",0,0
"135","ES120","Non-functional","Right box (side)",0,0
"136","ES120","Non-functional","Right side peek",0,0
