Observation id;Observation date;Description;Media file;Total length;FPS;Subject;Session;Trial Order;Date;Condition;Behavior;Behavioral category;Modifiers;Behavior type;Start (s);Stop (s);Duration (s);Comment start;Comment stop
ES_Child_103;04.06.2023 01:47;ES_Child_103;/Users/eliza/Everything/ES103 3y7m F YBG.mov;1.072.600;29,97;ES103;;1;40423;Functional;Functional;Trial type;;STATE;287.664;353.168;65.504;;
ES_Child_103;04.06.2023 01:47;ES_Child_103;/Users/eliza/Everything/ES103 3y7m F YBG.mov;1.072.600;29,97;ES103;;1;40423;Functional;Researcher present;Researcher status;;STATE;287.664;303.413;15.749;;
ES_Child_103;04.06.2023 01:47;ES_Child_103;/Users/eliza/Everything/ES103 3y7m F YBG.mov;1.072.600;29,97;ES103;;1;40423;Functional;Arriving at start of trial;Movement;;STATE;289.422;292.667;3.245;;
ES_Child_103;04.06.2023 01:47;ES_Child_103;/Users/eliza/Everything/ES103 3y7m F YBG.mov;1.072.600;29,97;ES103;;1;40423;Functional;Solve to toy;Time Spent;;STATE;295.668;296.163;0.495;;
ES_Child_103;04.06.2023 01:47;ES_Child_103;/Users/eliza/Everything/ES103 3y7m F YBG.mov;1.072.600;29,97;ES103;;1;40423;Functional;Left box;Proximity;;STATE;296.668;350.164;53.496;;
ES_Child_103;04.06.2023 01:47;ES_Child_103;/Users/eliza/Everything/ES103 3y7m F YBG.mov;1.072.600;29,97;ES103;;1;40423;Functional;Toy to end of trial;Time Spent;;STATE;296.668;339.413;42.745;;
ES_Child_103;04.06.2023 01:47;ES_Child_103;/Users/eliza/Everything/ES103 3y7m F YBG.mov;1.072.600;29,97;ES103;;1;40423;Functional;Researcher absent;Researcher status;;STATE;303.413;339.413;36.000;;
ES_Child_103;04.06.2023 01:47;ES_Child_103;/Users/eliza/Everything/ES103 3y7m F YBG.mov;1.072.600;29,97;ES103;;1;40423;Functional;Researcher present;Researcher status;;STATE;339.413;353.168;13.755;;
ES_Child_103;04.06.2023 01:47;ES_Child_103;/Users/eliza/Everything/ES103 3y7m F YBG.mov;1.072.600;29,97;ES103;;1;40423;Functional;Exiting at end of trial;Movement;;STATE;350.164;351.664;1.500;;
ES_Child_103;04.06.2023 01:47;ES_Child_103;/Users/eliza/Everything/ES103 3y7m F YBG.mov;1.072.600;29,97;ES103;;1;40423;Functional;Functional;Trial type;;STATE;381.912;432.666;50.754;;
ES_Child_103;04.06.2023 01:47;ES_Child_103;/Users/eliza/Everything/ES103 3y7m F YBG.mov;1.072.600;29,97;ES103;;1;40423;Functional;Researcher present;Researcher status;;STATE;381.912;395.169;13.257;;
ES_Child_103;04.06.2023 01:47;ES_Child_103;/Users/eliza/Everything/ES103 3y7m F YBG.mov;1.072.600;29,97;ES103;;1;40423;Functional;Arriving at start of trial;Movement;;STATE;385.660;387.165;1.505;;
ES_Child_103;04.06.2023 01:47;ES_Child_103;/Users/eliza/Everything/ES103 3y7m F YBG.mov;1.072.600;29,97;ES103;;1;40423;Functional;Solve to toy;Time Spent;;STATE;387.666;388.164;0.498;;
ES_Child_103;04.06.2023 01:47;ES_Child_103;/Users/eliza/Everything/ES103 3y7m F YBG.mov;1.072.600;29,97;ES103;;1;40423;Functional;Left box;Proximity;;STATE;388.667;408.911;20.244;;
ES_Child_103;04.06.2023 01:47;ES_Child_103;/Users/eliza/Everything/ES103 3y7m F YBG.mov;1.072.600;29,97;ES103;;1;40423;Functional;Toy to end of trial;Time Spent;;STATE;388.667;426.166;37.499;;
ES_Child_103;04.06.2023 01:47;ES_Child_103;/Users/eliza/Everything/ES103 3y7m F YBG.mov;1.072.600;29,97;ES103;;1;40423;Functional;Researcher absent;Researcher status;;STATE;395.169;426.166;30.997;;
ES_Child_103;04.06.2023 01:47;ES_Child_103;/Users/eliza/Everything/ES103 3y7m F YBG.mov;1.072.600;29,97;ES103;;1;40423;Functional;Midd box;Proximity;;STATE;408.911;412.415;3.504;;
ES_Child_103;04.06.2023 01:47;ES_Child_103;/Users/eliza/Everything/ES103 3y7m F YBG.mov;1.072.600;29,97;ES103;;1;40423;Functional;Fiddling with wood;Fiddling;;STATE;409.912;411.660;1.748;;
