Observation id,Observation date,Description,Media file,Total length,FPS,Subject,Session,Trial Order,Date,Subject,Behavior,Behavioral category,Modifiers,Behavior type,Start (s),Stop (s),Duration (s),Comment start,Comment stop
ReliabilityFay11.15.22ESExpS8.MTS.re-encoded.1920px.800k - copy,22/01/2023 11:40,ReliabilityFay11.15.22ESExpS8.MTS.re-encoded.1920px.800k - copy,C:/Users/Student/Documents/Masters/Extra-curricular course stuff/Kea coding/Videos/ReliabilityFay11.15.22ESExpS8.MTS.re-encoded.1920px.800k.avi,289.96,25,Fay,8,2,111522,Non-functional,Non-functional,Trial type,,STATE,167.942,209.608,41.666,,
ReliabilityFay11.15.22ESExpS8.MTS.re-encoded.1920px.800k - copy,22/01/2023 11:40,ReliabilityFay11.15.22ESExpS8.MTS.re-encoded.1920px.800k - copy,C:/Users/Student/Documents/Masters/Extra-curricular course stuff/Kea coding/Videos/ReliabilityFay11.15.22ESExpS8.MTS.re-encoded.1920px.800k.avi,289.96,25,Fay,8,2,111522,Non-functional,Testing compartment,Compartment,,STATE,167.942,206.256,38.314,,
ReliabilityFay11.15.22ESExpS8.MTS.re-encoded.1920px.800k - copy,22/01/2023 11:40,ReliabilityFay11.15.22ESExpS8.MTS.re-encoded.1920px.800k - copy,C:/Users/Student/Documents/Masters/Extra-curricular course stuff/Kea coding/Videos/ReliabilityFay11.15.22ESExpS8.MTS.re-encoded.1920px.800k.avi,289.96,25,Fay,8,2,111522,Non-functional,Arriving at start of trial,Movement,,STATE,167.942,169.465,1.523,,
ReliabilityFay11.15.22ESExpS8.MTS.re-encoded.1920px.800k - copy,22/01/2023 11:40,ReliabilityFay11.15.22ESExpS8.MTS.re-encoded.1920px.800k - copy,C:/Users/Student/Documents/Masters/Extra-curricular course stuff/Kea coding/Videos/ReliabilityFay11.15.22ESExpS8.MTS.re-encoded.1920px.800k.avi,289.96,25,Fay,8,2,111522,Non-functional,Solve to food,Time spent,,STATE,169.465,174.647,5.182,,
ReliabilityFay11.15.22ESExpS8.MTS.re-encoded.1920px.800k - copy,22/01/2023 11:40,ReliabilityFay11.15.22ESExpS8.MTS.re-encoded.1920px.800k - copy,C:/Users/Student/Documents/Masters/Extra-curricular course stuff/Kea coding/Videos/ReliabilityFay11.15.22ESExpS8.MTS.re-encoded.1920px.800k.avi,289.96,25,Fay,8,2,111522,Non-functional,Fiddling with wood,Fiddling,,STATE,169.465,170.319,0.854,,
ReliabilityFay11.15.22ESExpS8.MTS.re-encoded.1920px.800k - copy,22/01/2023 11:40,ReliabilityFay11.15.22ESExpS8.MTS.re-encoded.1920px.800k - copy,C:/Users/Student/Documents/Masters/Extra-curricular course stuff/Kea coding/Videos/ReliabilityFay11.15.22ESExpS8.MTS.re-encoded.1920px.800k.avi,289.96,25,Fay,8,2,111522,Non-functional,Right box (front),Proximity,,STATE,169.465,170.319,0.854,,
ReliabilityFay11.15.22ESExpS8.MTS.re-encoded.1920px.800k - copy,22/01/2023 11:40,ReliabilityFay11.15.22ESExpS8.MTS.re-encoded.1920px.800k - copy,C:/Users/Student/Documents/Masters/Extra-curricular course stuff/Kea coding/Videos/ReliabilityFay11.15.22ESExpS8.MTS.re-encoded.1920px.800k.avi,289.96,25,Fay,8,2,111522,Non-functional,Midd box,Proximity,,STATE,170.319,171.067,0.748,,
ReliabilityFay11.15.22ESExpS8.MTS.re-encoded.1920px.800k - copy,22/01/2023 11:40,ReliabilityFay11.15.22ESExpS8.MTS.re-encoded.1920px.800k - copy,C:/Users/Student/Documents/Masters/Extra-curricular course stuff/Kea coding/Videos/ReliabilityFay11.15.22ESExpS8.MTS.re-encoded.1920px.800k.avi,289.96,25,Fay,8,2,111522,Non-functional,Right box (front),Proximity,,STATE,171.067,174.292,3.225,,
ReliabilityJohn10.7.22ESExpS2.MTS.re-encoded.1920px.800k - copy,27/01/2023 12:49,ReliabilityJohn10.7.22ESExpS2.MTS.re-encoded.1920px.800k - copy,C:/Users/Student/Documents/Masters/Extra-curricular course stuff/Kea coding/Videos/ReliabilityJohn10.7.22ESExpS2.MTS.re-encoded.1920px.800k.avi,330.76,25,John,2,2,10722,Non-functional,Non-functional,Trial type,,STATE,173.246,219.644,46.398,,
ReliabilityJohn10.7.22ESExpS2.MTS.re-encoded.1920px.800k - copy,27/01/2023 12:49,ReliabilityJohn10.7.22ESExpS2.MTS.re-encoded.1920px.800k - copy,C:/Users/Student/Documents/Masters/Extra-curricular course stuff/Kea coding/Videos/ReliabilityJohn10.7.22ESExpS2.MTS.re-encoded.1920px.800k.avi,330.76,25,John,2,2,10722,Non-functional,Testing compartment,Compartment,,STATE,173.246,178.145,4.899,,
