"","subject","condition","Trial","Behavior","sum_duration","count_peeking","Block","trial_order","Trial_duration","trial_overall","proportion_peeking"
"1","ES101","Functional",1,"Right side peek",6.573,1,1,"1",48.515,1,0.135483870967742
"2","ES102","Non-functional",1,"Right side peek",4.749,1,1,"2",40.997,1,0.115837744225187
"3","ES108","Functional",1,"Peek on top",8.492,1,2,"2",28.75,5,0.295373913043478
"4","ES108","Functional",2,"Peek on top",11.749,1,2,"2",28.997,6,0.405179846190985
"5","ES108","Functional",2,"Peephole peek",8.496,1,2,"2",28.997,6,0.292995827154533
"6","ES111","Non-functional",1,"Right side peek",1.748,1,1,"2",34.842,1,0.0501693358590207
"7","ES111","Non-functional",2,"Right side peek",1.493,1,1,"2",28.498,2,0.0523896413783423
"8","ES112","Non-functional",1,"Right side peek",17.35,2,2,"1",32.032,5,0.541645854145854
"9","ES112","Non-functional",3,"Right box (side)",4.155,1,2,"1",28.979,7,0.143379688740122
"10","ES113","Non-functional",1,"Right side peek",1.435,1,1,"2",38.973,1,0.0368203628152824
"11","ES114","Functional",1,"Right box (side)",18.168,1,1,"1",44.761,1,0.405889055204307
"12","ES115","Functional",2,"Right box (side)",13.397,1,2,"2",33.083,6,0.404951183387238
"13","ES115","Functional",3,"Right box (side)",8.642,1,2,"2",31.065,7,0.27819089006921
"14","ES115","Non-functional",1,"Right box (side)",3.503,1,1,"2",37.905,1,0.0924152486479356
"15","ES115","Non-functional",2,"Right box (side)",1.768,1,1,"2",33.867,2,0.0522042105884785
"16","ES115","Non-functional",3,"Right box (side)",3.921,1,1,"2",26.16,3,0.149885321100917
"17","ES116","Non-functional",1,"Right box (side)",1.585,1,2,"1",30.531,5,0.0519144476106253
"18","ES116","Non-functional",4,"Peek on top",4.155,1,2,"1",28.012,8,0.148329287448236
"19","ES118","Functional",3,"Right box (side)",2.519,1,2,"2",33.884,7,0.074341872270098
"20","ES118","Non-functional",3,"Right box (side)",29.146,1,1,"2",38.171,3,0.763563962170234
"21","ES124","Functional",4,"Right side peek",0.752,1,1,"1",44.999,4,0.0167114824773884
"22","ES124","Non-functional",4,"Right side peek",2.001,1,2,"1",36.734,8,0.0544726955953612
"23","ES129","Non-functional",4,"Right side peek",5.748,2,1,"2",40.501,4,0.141922421668601
"24","ES135","Functional",1,"Right side peek",2.517,1,1,"1",45.761,1,0.055003168637049
"25","ES135","Non-functional",1,"Right side peek",3.736,2,2,"1",27.76,5,0.134582132564841
"26","ES136","Functional",4,"Right side peek",2.747,1,2,"2",28.56,8,0.0961834733893557
"27","ES136","Non-functional",1,"Right side peek",2.496,1,1,"2",34.527,1,0.072291250325832
"28","ES136","Non-functional",2,"Right side peek",3.511,1,1,"2",24.816,2,0.141481302385558
"29","ES136","Non-functional",3,"Peephole peek",2.229,1,1,"2",26.004,3,0.0857175819104753
"30","Es125","Non-functional",1,"Peephole peek",0.999,1,1,"2",31.999,1,0.0312197256164255
"31","ES101","Functional",1,"Peek on top",0,0,1,"1",48.515,1,0
"32","ES102","Functional",1,"Peek on top",0,0,2,"2",46,5,0
"33","ES103","Functional",1,"Peek on top",0,0,1,"1",42.745,1,0
"34","ES104","Functional",1,"Peek on top",0,0,2,"2",42.242,5,0
"35","ES106","Functional",1,"Peek on top",0,0,2,"2",54.254,5,0
"36","ES110","Functional",1,"Peek on top",0,0,1,"1",30.757,1,0
"37","ES111","Functional",1,"Peek on top",0,0,2,"2",30.004,5,0
"38","ES112","Functional",1,"Peek on top",0,0,1,"1",25.426,1,0
"39","ES113","Functional",1,"Peek on top",0,0,2,"2",33.133,5,0
"40","ES114","Functional",1,"Peek on top",0,0,1,"1",44.761,1,0
"41","ES115","Functional",1,"Peek on top",0,0,2,"2",31.314,5,0
"42","ES116","Functional",1,"Peek on top",0,0,1,"1",33.217,1,0
"43","ES117","Functional",1,"Peek on top",0,0,1,"1",45.512,1,0
"44","ES118","Functional",1,"Peek on top",0,0,2,"2",37.404,5,0
"45","ES119","Functional",1,"Peek on top",0,0,1,"1",48.449,1,0
"46","ES120","Functional",1,"Peek on top",0,0,1,"1",35.575,1,0
"47","ES122","Functional",1,"Peek on top",0,0,1,"1",28.497,1,0
"48","ES123","Functional",1,"Peek on top",0,0,1,"1",45.799,1,0
"49","ES124","Functional",1,"Peek on top",0,0,1,"1",50.752,1,0
"50","Es125","Functional",1,"Peek on top",0,0,2,"2",32.244,5,0
"51","ES126","Functional",1,"Peek on top",0,0,1,"1",39.546,1,0
"52","ES127","Functional",1,"Peek on top",0,0,1,"1",46.002,1,0
"53","ES128","Functional",1,"Peek on top",0,0,1,"1",42.503,1,0
"54","ES129","Functional",1,"Peek on top",0,0,2,"2",41.497,5,0
"55","ES130","Functional",1,"Peek on top",0,0,1,"1",33.795,1,0
"56","ES132","Functional",1,"Peek on top",0,0,1,"1",37.701,1,0
"57","ES133","Functional",1,"Peek on top",0,0,1,"1",37.51,1,0
"58","ES134","Functional",1,"Peek on top",0,0,2,"2",37.012,5,0
"59","ES135","Functional",1,"Peek on top",0,0,1,"1",45.761,1,0
"60","ES136","Functional",1,"Peek on top",0,0,2,"2",28.998,5,0
"61","ES101","Non-functional",1,"Peek on top",0,0,2,"1",42.242,5,0
"62","ES102","Non-functional",1,"Peek on top",0,0,1,"2",40.997,1,0
"63","ES103","Non-functional",1,"Peek on top",0,0,2,"1",39.007,5,0
"64","ES104","Non-functional",1,"Peek on top",0,0,1,"2",47.914,1,0
"65","ES106","Non-functional",1,"Peek on top",0,0,1,"2",52.755,1,0
"66","ES108","Non-functional",1,"Peek on top",0,0,1,"2",31.746,1,0
"67","ES110","Non-functional",1,"Peek on top",0,0,2,"1",27.498,5,0
"68","ES111","Non-functional",1,"Peek on top",0,0,1,"2",34.842,1,0
"69","ES112","Non-functional",1,"Peek on top",0,0,2,"1",32.032,5,0
"70","ES113","Non-functional",1,"Peek on top",0,0,1,"2",38.973,1,0
"71","ES114","Non-functional",1,"Peek on top",0,0,2,"1",41.625,5,0
"72","ES115","Non-functional",1,"Peek on top",0,0,1,"2",37.905,1,0
"73","ES116","Non-functional",1,"Peek on top",0,0,2,"1",30.531,5,0
"74","ES117","Non-functional",1,"Peek on top",0,0,2,"1",40.023,5,0
"75","ES118","Non-functional",1,"Peek on top",0,0,1,"2",36.153,1,0
"76","ES119","Non-functional",1,"Peek on top",0,0,2,"1",32.899,5,0
"77","ES120","Non-functional",1,"Peek on top",0,0,2,"1",11.748,5,0
"78","ES122","Non-functional",1,"Peek on top",0,0,2,"1",30.82,5,0
