"","subject","condition","Trial","Behavior","sum_duration","Block","trial_order","Trial_duration","trial_overall","proportion_peeking"
"1","ES101","Functional",1,"Right side peek",6.573,1,"1",48.515,1,0.135483870967742
"2","ES102","Non-functional",1,"Right side peek",4.749,1,"2",40.997,1,0.115837744225187
"3","ES108","Functional",1,"Peek on top",8.492,2,"2",28.75,5,0.295373913043478
"4","ES108","Functional",2,"Peek on top",11.749,2,"2",28.997,6,0.405179846190985
"5","ES108","Functional",2,"Peephole peek",8.496,2,"2",28.997,6,0.292995827154533
"6","ES111","Non-functional",2,"Right side peek",1.493,1,"2",28.498,2,0.0523896413783423
"7","ES112","Non-functional",1,"Right side peek",0.817,2,"1",32.032,5,0.0255057442557443
"8","ES112","Non-functional",3,"Right box (side)",4.155,2,"1",28.979,7,0.143379688740122
"9","ES113","Functional",1,"Right box (side)",28.011,2,"2",35.686,5,0.784929664294121
"10","ES113","Functional",2,"Right box (side)",26.76,2,"2",34.918,6,0.766366916776448
"11","ES113","Functional",3,"Right box (side)",27.143,2,"2",35.085,7,0.773635456747898
"12","ES113","Functional",4,"Right box (side)",26.343,2,"2",31.848,8,0.827147701582517
"13","ES113","Non-functional",1,"Right side peek",2.035,1,"2",38.055,1,0.0534752332150834
"14","ES113","Non-functional",2,"Right side peek",1.218,1,"2",36.77,2,0.0331248300244765
"15","ES113","Non-functional",4,"Right box (side)",26.126,1,"2",32.666,4,0.799791832486377
"16","ES114","Functional",1,"Right box (side)",18.168,1,"1",44.761,1,0.405889055204307
"17","ES115","Functional",3,"Right box (side)",8.642,2,"2",31.065,7,0.27819089006921
"18","ES115","Non-functional",1,"Right box (side)",3.503,1,"2",37.905,1,0.0924152486479356
"19","ES115","Non-functional",3,"Right box (side)",3.921,1,"2",26.16,3,0.149885321100917
"20","ES116","Non-functional",1,"Right box (side)",1.585,2,"1",30.531,5,0.0519144476106253
"21","ES116","Non-functional",4,"Peek on top",4.155,2,"1",28.012,8,0.148329287448236
"22","ES118","Functional",3,"Right box (side)",2.519,2,"2",33.884,7,0.074341872270098
"23","ES118","Non-functional",3,"Right box (side)",29.146,1,"2",38.171,3,0.763563962170234
"24","ES124","Functional",4,"Right side peek",0.752,1,"1",44.999,4,0.0167114824773884
"25","ES124","Non-functional",4,"Right side peek",2.001,2,"1",36.734,8,0.0544726955953612
"26","ES129","Non-functional",1,"Right side peek",5.748,1,"2",40.501,1,0.141922421668601
"27","ES135","Functional",1,"Right side peek",2.517,1,"1",45.761,1,0.055003168637049
