"","subject","condition","Trial","Behavior","sum_duration","count_peeking","Block","trial_order","Trial_duration","proportion_peeking"
"1","ES101","Functional",1,"Right side peek",5.272,1,NA,NA,43.81,0.120337822414974
"2","ES108","Functional",1,"Peek on top",8.108,1,NA,NA,28.695,0.282557936922809
"3","ES108","Functional",2,"Peek on top",10.744,1,NA,NA,34.535,0.311104676415231
"4","ES108","Functional",2,"Peephole peek",13.147,1,NA,NA,34.535,0.380686260315622
"5","ES113","Non-functional",1,"Right side peek",2.102,1,NA,NA,41.541,0.0506006114441154
"6","ES129","Non-functional",4,"Peephole peek",3.003,2,NA,NA,46.213,0.0649817151018112
"7","ES129","Non-functional",4,"Right box (side)",8.176,2,NA,NA,46.213,0.176919914309826
"8","ES136","Functional",4,"Right side peek",4.171,1,NA,NA,34.885,0.11956428264297
"9","ES136","Non-functional",1,"Right side peek",3.437,1,NA,NA,51.701,0.0664784046730237
"10","ES136","Non-functional",2,"Right side peek",4.839,1,NA,NA,29.096,0.166311520483915
"11","ES101","Functional",1,"Peek on top",0,0,NA,NA,43.81,0
"12","ES113","Functional",1,"Peek on top",0,0,NA,NA,34.985,0
"13","ES120","Functional",1,"Peek on top",0,0,NA,NA,35.335,0
"14","ES125","Functional",1,"Peek on top",0,0,NA,NA,33,0
"15","ES129","Functional",1,"Peek on top",0,0,NA,NA,55.355,0
"16","ES136","Functional",1,"Peek on top",0,0,NA,NA,31.031,0
"17","ES101","Non-functional",1,"Peek on top",0,0,NA,NA,43.377,0
"18","ES108","Non-functional",1,"Peek on top",0,0,NA,NA,35.835,0
"19","ES113","Non-functional",1,"Peek on top",0,0,NA,NA,41.541,0
"20","ES120","Non-functional",1,"Peek on top",0,0,NA,NA,32.833,0
"21","ES125","Non-functional",1,"Peek on top",0,0,NA,NA,37.404,0
"22","ES129","Non-functional",1,"Peek on top",0,0,NA,NA,58.492,0
"23","ES136","Non-functional",1,"Peek on top",0,0,NA,NA,51.701,0
"24","ES101","Functional",2,"Peek on top",0,0,NA,NA,42.509,0
"25","ES113","Functional",2,"Peek on top",0,0,NA,NA,35.886,0
"26","ES120","Functional",2,"Peek on top",0,0,NA,NA,31.699,0
"27","ES125","Functional",2,"Peek on top",0,0,NA,NA,33.166,0
"28","ES129","Functional",2,"Peek on top",0,0,NA,NA,46.846,0
"29","ES136","Functional",2,"Peek on top",0,0,NA,NA,28.078,0
"30","ES101","Non-functional",2,"Peek on top",0,0,NA,NA,42.142,0
"31","ES108","Non-functional",2,"Peek on top",0,0,NA,NA,28.361,0
"32","ES113","Non-functional",2,"Peek on top",0,0,NA,NA,40.123,0
"33","ES120","Non-functional",2,"Peek on top",0,0,NA,NA,29.797,0
"34","ES125","Non-functional",2,"Peek on top",0,0,NA,NA,36.036,0
"35","ES129","Non-functional",2,"Peek on top",0,0,NA,NA,49.783,0
"36","ES136","Non-functional",2,"Peek on top",0,0,NA,NA,29.096,0
"37","ES101","Functional",3,"Peek on top",0,0,NA,NA,49.883,0
"38","ES108","Functional",3,"Peek on top",0,0,NA,NA,30.096,0
"39","ES113","Functional",3,"Peek on top",0,0,NA,NA,36.503,0
"40","ES120","Functional",3,"Peek on top",0,0,NA,NA,27.961,0
"41","ES125","Functional",3,"Peek on top",0,0,NA,NA,33.434,0
"42","ES129","Functional",3,"Peek on top",0,0,NA,NA,43.677,0
"43","ES136","Functional",3,"Peek on top",0,0,NA,NA,27.578,0
"44","ES101","Non-functional",3,"Peek on top",0,0,NA,NA,43.978,0
"45","ES108","Non-functional",3,"Peek on top",0,0,NA,NA,34.468,0
"46","ES113","Non-functional",3,"Peek on top",0,0,NA,NA,38.605,0
"47","ES120","Non-functional",3,"Peek on top",0,0,NA,NA,28.896,0
"48","ES125","Non-functional",3,"Peek on top",0,0,NA,NA,34.769,0
"49","ES129","Non-functional",3,"Peek on top",0,0,NA,NA,59.459,0
"50","ES136","Non-functional",3,"Peek on top",0,0,NA,NA,27.744,0
"51","ES101","Functional",4,"Peek on top",0,0,NA,NA,37.538,0
"52","ES113","Functional",4,"Peek on top",0,0,NA,NA,35.218,0
"53","ES120","Functional",4,"Peek on top",0,0,NA,NA,28.229,0
"54","ES125","Functional",4,"Peek on top",0,0,NA,NA,32.265,0
"55","ES129","Functional",4,"Peek on top",0,0,NA,NA,52.252,0
"56","ES136","Functional",4,"Peek on top",0,0,NA,NA,34.885,0
