,Subject,Session,Trial,Condition,sum_peeking,Trial_Duration,Proportionpeeking,peeking_binary,Prop_peeking_reli,Peeking_binary_reli
1,Coco,1,4,Functional,0,46.031,0,0,NA,NA
2,Coco,1,5,Non-functional,0,43.99,0,0,NA,NA
3,Coco,2,4,Non-functional,0,35.89,0,0,NA,NA
4,Coco,2,5,Functional,0,45.11,0,0,NA,NA
5,Coco,3,4,Functional,0,39.148,0,0,NA,NA
6,Coco,3,5,Non-functional,0,36.965,0,0,NA,NA
7,Coco,4,4,Functional,0,39.325,0,0,NA,NA
8,Coco,4,5,Non-functional,0,35.305,0,0,NA,NA
9,Coco,5,4,Non-functional,1.475,36.834,0.040044524,1,NA,NA
10,Coco,5,5,Functional,0,38.89,0,0,NA,NA
11,Coco,6,4,Non-functional,0,35.212,0,0,0,0
12,Coco,6,5,Functional,0,39.398,0,0,0,0
13,Coco,7,4,Functional,0,38.925,0,0,NA,NA
14,Coco,7,5,Non-functional,0,36.113,0,0,NA,NA
15,Coco,8,4,Non-functional,0,33.973,0,0,NA,NA
16,Coco,8,5,Functional,0.78,39.735,0.019630049,1,NA,NA
17,Fay,1,4,Non-functional,0,35.506,0,0,NA,NA
18,Fay,1,5,Functional,2.526,40.695,0.062071508,1,NA,NA
19,Fay,2,4,Functional,0,38.58,0,0,NA,NA
20,Fay,2,5,Non-functional,0.825,34.648,0.023810898,1,NA,NA
21,Fay,3,4,Non-functional,0,33.701,0,0,NA,NA
22,Fay,3,5,Functional,0,38.59,0,0,NA,NA
23,Fay,4,4,Functional,0,41.754,0,0,NA,NA
24,Fay,4,5,Non-functional,0,33.489,0,0,NA,NA
25,Fay,5,4,Non-functional,0,34.516,0,0,0,0
26,Fay,5,5,Functional,0,39.35,0,0,0,0
27,Fay,6,4,Functional,0,39.285,0,0,NA,NA
28,Fay,6,5,Non-functional,0,35.956,0,0,NA,NA
29,Fay,7,4,Functional,0,39.065,0,0,NA,NA
30,Fay,7,5,Non-functional,1.35,34.885,0.038698581,1,NA,NA
31,Fay,8,4,Non-functional,0,34.512,0,0,0,0
32,Fay,8,5,Functional,0,38.475,0,0,0,0
33,Frowin,1,4,Functional,1.95,41.005,0.047555176,1,NA,NA
34,Frowin,1,5,Non-functional,0,36.775,0,0,NA,NA
35,Frowin,2,4,Non-functional,0,33.375,0,0,NA,NA
36,Frowin,2,5,Functional,0,38.105,0,0,NA,NA
37,Frowin,3,4,Non-functional,0,34.149,0,0,NA,NA
38,Frowin,3,5,Functional,0,39.002,0,0,NA,NA
39,Frowin,4,4,Non-functional,3.28,34.763,0.094353192,1,NA,NA
40,Frowin,4,5,Functional,2.28,41.07,0.055514974,1,NA,NA
41,Frowin,5,4,Functional,0,37.856,0,0,NA,NA
42,Frowin,5,5,Non-functional,1.024,32.349,0.031654765,1,NA,NA
43,Frowin,6,4,Non-functional,0,35.926,0,0,NA,NA
44,Frowin,6,5,Functional,1.226,41.005,0.029898793,1,NA,NA
45,Frowin,7,4,Functional,0.675,30.95,0.02180937,1,0.008573963,1
46,Frowin,7,5,Non-functional,0,35.754,0,0,0.015963968,1
47,Frowin,8,4,Functional,0,39.859,0,0,NA,NA
48,Frowin,8,5,Non-functional,0,34.39,0,0,NA,NA
49,JeanLuc,1,4,Non-functional,0,39.045,0,0,NA,NA
50,JeanLuc,1,5,Functional,0,41.901,0,0,NA,NA
51,JeanLuc,2,4,Functional,0,39.025,0,0,NA,NA
52,JeanLuc,2,5,Non-functional,0,35.926,0,0,NA,NA
53,JeanLuc,3,4,Functional,0,38.301,0,0,NA,NA
54,JeanLuc,3,5,Non-functional,0,34.076,0,0,NA,NA
55,JeanLuc,4,4,Non-functional,0,34.795,0,0,NA,NA
56,JeanLuc,4,5,Functional,0,39.526,0,0,NA,NA
57,JeanLuc,5,4,Functional,1.226,39.047,0.031398059,1,NA,NA
58,JeanLuc,5,5,Non-functional,0,34.649,0,0,NA,NA
59,JeanLuc,6,4,Non-functional,1.25,33.239,0.037606426,1,0,0
60,JeanLuc,6,5,Functional,0,39.05,0,0,0,0
61,JeanLuc,7,4,Non-functional,0,33.749,0,0,NA,NA
62,JeanLuc,7,5,Functional,0,37.225,0,0,NA,NA
63,JeanLuc,8,4,Functional,0.35,37.307,0.009381617,1,NA,NA
64,JeanLuc,8,5,Non-functional,0,34.109,0,0,NA,NA
65,John,1,4,Functional,0,37.461,0,0,NA,NA
66,John,1,5,Non-functional,0,40.219,0,0,NA,NA
67,John,2,4,Non-functional,1.526,38.629,0.039504,1,0.062606832,1
68,John,2,5,Functional,1.201,44.741,0.026843387,1,0.060444483,1
69,John,3,4,Non-functional,4.075,38.616,0.105526207,1,NA,NA
70,John,3,5,Functional,4.249,42.44,0.100117813,1,NA,NA
71,John,4,4,Functional,5.156,39.569,0.130304026,1,NA,NA
72,John,4,5,Non-functional,0,34.6,0,0,NA,NA
73,John,5,4,Functional,1.549,39.425,0.039289791,1,NA,NA
74,John,5,5,Non-functional,2.327,34,0.068441176,1,NA,NA
75,John,6,4,Non-functional,0,31.246,0,0,NA,NA
76,John,6,5,Functional,2.45,37.775,0.06485771,1,NA,NA
77,John,7,4,Non-functional,0,32.8,0,0,NA,NA
78,John,7,5,Functional,3.024,38.52,0.078504673,1,NA,NA
79,John,8,4,Functional,3.899,37.776,0.103213681,1,NA,NA
80,John,8,5,Non-functional,0,35.108,0,0,NA,NA
81,Kermit,1,4,Functional,0,38.375,0,0,NA,NA
82,Kermit,1,5,Non-functional,0.95,33.865,0.028052562,1,NA,NA
83,Kermit,2,4,Non-functional,0.975,39.809,0.024491949,1,NA,NA
84,Kermit,2,5,Functional,0,43.85,0,0,NA,NA
85,Kermit,3,4,Functional,0,41.125,0,0,0,0
86,Kermit,3,5,Non-functional,0.513,37.311,0.013749296,1,0.038567281,1
87,Kermit,4,4,Non-functional,0,34.2,0,0,0,0
88,Kermit,4,5,Functional,0,40.133,0,0,0,0
89,Kermit,5,4,Non-functional,0,35.175,0,0,NA,NA
90,Kermit,5,5,Functional,0,38.375,0,0,NA,NA
