"","Subject","Session","Trial","Condition","count_peeking","peeking_binary","Proportionpeeking"
"1","Coco",1,4,"Functional",0,0,0
"2","Coco",1,5,"Non-functional",0,0,0
"3","Coco",2,4,"Non-functional",0,0,0
"4","Coco",2,5,"Functional",0,0,0
"5","Coco",3,4,"Functional",0,0,0
"6","Coco",3,5,"Non-functional",0,0,0
"7","Coco",4,4,"Functional",0,0,0
"8","Coco",4,5,"Non-functional",0,0,0
"9","Coco",5,4,"Non-functional",1,1,0.0400445240810121
"10","Coco",5,5,"Functional",0,0,0
"11","Coco",6,4,"Non-functional",0,0,0
"12","Coco",6,5,"Functional",0,0,0
"13","Coco",7,4,"Functional",0,0,0
"14","Coco",7,5,"Non-functional",0,0,0
"15","Coco",8,4,"Non-functional",0,0,0
"16","Coco",8,5,"Functional",1,1,0.0196300490751227
"17","Fay",1,4,"Non-functional",0,0,0
"18","Fay",1,5,"Functional",1,1,0.0620715075562108
"19","Fay",2,4,"Functional",0,0,0
"20","Fay",2,5,"Non-functional",1,1,0.0238108981759409
"21","Fay",3,4,"Non-functional",0,0,0
"22","Fay",3,5,"Functional",0,0,0
"23","Fay",4,4,"Functional",0,0,0
"24","Fay",4,5,"Non-functional",0,0,0
"25","Fay",5,4,"Non-functional",0,0,0
"26","Fay",5,5,"Functional",0,0,0
"27","Fay",6,4,"Functional",0,0,0
"28","Fay",6,5,"Non-functional",0,0,0
"29","Fay",7,4,"Functional",0,0,0
"30","Fay",7,5,"Non-functional",1,1,0.0386985810520281
"31","Fay",8,4,"Non-functional",0,0,0
"32","Fay",8,5,"Functional",0,0,0
"33","Frowin",1,4,"Functional",1,1,0.0475551761980246
"34","Frowin",1,5,"Non-functional",0,0,0
"35","Frowin",2,4,"Non-functional",0,0,0
"36","Frowin",2,5,"Functional",0,0,0
"37","Frowin",3,4,"Non-functional",0,0,0
"38","Frowin",3,5,"Functional",0,0,0
"39","Frowin",4,4,"Non-functional",2,1,0.0943531916117712
"40","Frowin",4,5,"Functional",2,1,0.0555149744338933
"41","Frowin",5,4,"Functional",0,0,0
"42","Frowin",5,5,"Non-functional",1,1,0.0316547652168537
"43","Frowin",6,4,"Non-functional",0,0,0
"44","Frowin",6,5,"Functional",1,1,0.0298987928301427
"45","Frowin",7,4,"Functional",1,1,0.0218093699515347
"46","Frowin",7,5,"Non-functional",0,0,0
"47","Frowin",8,4,"Functional",0,0,0
"48","Frowin",8,5,"Non-functional",0,0,0
"49","JeanLuc",1,4,"Non-functional",0,0,0
"50","JeanLuc",1,5,"Functional",0,0,0
"51","JeanLuc",2,4,"Functional",0,0,0
"52","JeanLuc",2,5,"Non-functional",0,0,0
"53","JeanLuc",3,4,"Functional",0,0,0
"54","JeanLuc",3,5,"Non-functional",0,0,0
"55","JeanLuc",4,4,"Non-functional",0,0,0
"56","JeanLuc",4,5,"Functional",0,0,0
"57","JeanLuc",5,4,"Functional",1,1,0.0313980587497119
"58","JeanLuc",5,5,"Non-functional",0,0,0
"59","JeanLuc",6,4,"Non-functional",1,1,0.0376064261861067
"60","JeanLuc",6,5,"Functional",0,0,0
"61","JeanLuc",7,4,"Non-functional",0,0,0
"62","JeanLuc",7,5,"Functional",0,0,0
"63","JeanLuc",8,4,"Functional",1,1,0.00938161739083818
"64","JeanLuc",8,5,"Non-functional",0,0,0
"65","John",1,4,"Functional",0,0,0
"66","John",1,5,"Non-functional",0,0,0
"67","John",2,4,"Non-functional",1,1,0.0395039995858034
"68","John",2,5,"Functional",1,1,0.0268433874969268
"69","John",3,4,"Non-functional",1,1,0.105526206753677
"70","John",3,5,"Functional",2,1,0.1001178133836
"71","John",4,4,"Functional",2,1,0.130304025878845
"72","John",4,5,"Non-functional",0,0,0
"73","John",5,4,"Functional",2,1,0.039289790741915
"74","John",5,5,"Non-functional",1,1,0.0684411764705882
"75","John",6,4,"Non-functional",0,0,0
"76","John",6,5,"Functional",1,1,0.0648577101257446
"77","John",7,4,"Non-functional",0,0,0
"78","John",7,5,"Functional",1,1,0.0785046728971963
"79","John",8,4,"Functional",1,1,0.103213680643795
"80","John",8,5,"Non-functional",0,0,0
"81","Kermit",1,4,"Functional",0,0,0
"82","Kermit",1,5,"Non-functional",1,1,0.0280525616418131
"83","Kermit",2,4,"Non-functional",1,1,0.024491949056746
"84","Kermit",2,5,"Functional",0,0,0
"85","Kermit",3,4,"Functional",0,0,0
"86","Kermit",3,5,"Non-functional",1,1,0.0137492964541288
"87","Kermit",4,4,"Non-functional",0,0,0
"88","Kermit",4,5,"Functional",0,0,0
